Name,Distance,Mass(KG),Meters,Gravity
Sun,0.000015813,1.989e+30,695700000.0,274.10478078144416
Sirius,0008.6,4.1769e+30,1189647000.0,196.85374632913812
Canopus,0310,2.9835e+31,49394700000.0,0.8156262074432973
Alpha Centauri,0004.4,2.1879e+30,834840000.0,209.38559643026986
Arcturus,0037,2.1879e+30,18088200000.0,0.44602848943726114
Vega,0025,4.3758e+30,1878390000.0000002,82.72023562677326
Capella,0043,5.1714e+30,8348400000.0,4.9491140974427426
Rigel,0860,4.574699999999999e+31,54890730000.00001,1.0127224556237
Procyon,0011.4,2.9835e+30,1321830000.0,113.89395323328705
Betelgeuse,0640[1],3.978e+31,660915000000.0,0.006074344172441975
Achernar,0144,1.33263e+31,6470010000.000001,21.233692117420222
Hadar,0390,2.08845e+31,5983020000.0,38.914280667998426
Altair,0017,3.5802e+30,1252260000.0,152.280433767469
Acrux,0320,3.5801999999999996e+31,6191730000.0,62.28867635482885
Aldebaran,0065,2.9835e+30,30610800000.0,0.2123745718864495
Antares,0600,2.3868e+31,473076000000.0,0.007113445868030558
Spica,0260,2.2734269999999998e+31,5196879000.0,56.14636402516637
Pollux,0034,3.7790999999999997e+30,6122160000.000001,6.725194776404232
Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,160.74045786566168
Deneb,"2,600",3.7791e+31,141227100000.0,0.12637993726728236
Mimosa,0350,3.1824e+31,5843880000.0,62.155279088762846
Regulus,0077,7.558199999999999e+30,2156670000.0,108.38690603220476
Adhara,0430,2.48625e+31,9739800000.0,17.481172243714553
Shaula,0700,2.88405e+31,6122160000.000001,51.32385487255861
Castor,0052,5.5692e+30,1669680000.0,133.24537954653536
Gacrux,0088,2.9835e+30,58438800000.0,0.05827057414571517
Bellatrix,0240,1.7105399999999998e+31,4035060000.0,70.07434942688523
Elnath,0130,9.945e+30,2921940000.0,77.69409886095356
Miaplacidus,0110,6.9615e+30,4730760000.0,20.74755044842246
Alnilam,"2,000",6.3648e+31,29219400000.0,4.972422327101027
Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,68.52619519536103
Alnair,0101,7.956e+30,2365380000.0,94.8459449070741
Alioth,0081,5.7681e+30,2921940000.0,45.06257733935306
Alnitak,01050,6.5637e+31,13914000000.0,22.613644414469146
Dubhe,0120,8.453249999999999e+30,20871000000.0,1.2943836870234862
Mirfak,0590,1.6906499999999999e+31,47307600000.0,0.5038690823188311
Wezen,"1,600",3.3812999999999997e+31,139140000000.0,0.11649453183211377
Sargas,0270,1.13373e+31,18088200000.0,2.3112385361748986
Kaus Australis,0140,6.9615e+30,4730760000.0,20.74755044842246
Avior,0630,1.7900999999999998e+31,90441000000.0,0.14597296017946726
Alkaid,0104,1.2132899999999998e+31,2365380000.0,144.64006598328797
Menkalinan,081,4.75371e+30,1927089000.0,85.37976854483331
Atria,0390,1.3923e+31,64004400000.0,0.22669346236650623
Alhena,0109,5.5692e+30,2295810000.0,70.4768949667625
Peacock,0180,1.17351e+31,3339360000.0,70.19176243969274
Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,78.22252959280213
Mirzam,0500,2.68515e+31,6957000000.0,37.00414540549496
Polaris,0430,1.07406e+31,27132300000.0,0.9731530678631156
Alphard,0180,5.967e+30,34785000000.0,0.328925736937733
Scheat,0196,4.1769e+30,66091500000.0,0.06378061381064075
Almaaz,0653,2.9835e+31,97398000000.0,0.2097740669245746
Rasalgethi,0360,5.5692e+30,194796000000.0,0.009789456456480147
Tau Ceti,011.9,1.557387e+30,621260100.0,269.1382688446168
Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,182.50325030530175
Ran,010.48,1.6309799999999997e+30,514818000.0,410.45639196636995
V382 Carinae,"08,900",3.978e+31,337414500000.0,0.02330575243119942
Eta Carinae,"07,500",1.989e+32,104355000000.0,1.218243470139752
Delta Cephei,0887,8.950499999999999e+30,30958650000.0,0.6228867635482885
Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,0.0055703862374931485
Titawin,044.25,2.52603e+30,1029636000.0,158.9267127430762
Rho Cassiopeiae,"08,154",4.3758e+31,542646000000.0,0.009911744209716916
P Cygni,"05,545",5.967e+31,52873200000.0,1.423674415416088
La Superba,"01,000",nan,123834600000.0,nan
VV Cephei,"04,900",3.61998e+31,695700000000.0,0.004988707010222282
61 Cygni,011.41,1.3923e+30,462640500.0,433.8817266029983
R Doradus,0178,1.6906499999999997e+30,207318600000.0,0.002623632535293765
Polaris Australis,0281,3.16251e+30,2601918000.0,31.158068678150375
R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0,0.03224762126840519
54 Piscium,036.1,1.51164e+30,653958000.0,235.76237369159978
Mira,0300,2.3867999999999998e+30,257409000000.0,0.00240267156272997
RW Cephei,"014,000",2.76471e+31,805620600000.0,0.0028412816845657853
Lacaille 8760,012.87,1.1933999999999999e+30,354807000.0,632.3062993804939
V838 Monocerotis,"019,896",1.5912e+30,417420000000.0,0.000609121735069876
HD 140283,0190,3.3812999999999997e+31,973979999.9999999,2377.4394251451795
II Pegasi,0130,1.989e+32,2365380000.0,2371.1486226768525
VY Canis Majoris,"03,900",4.7736e+31,987894000000.0,0.0032625048297731897
Pistol Star,"025,000",1.6906499999999999e+31,222624000000.0,0.022752838248459722
S Doradus,"0169,000",2.7846e+29,264366000000.0,0.00026575255754433645
UY Scuti,"05,100",7.956e+28,525253500000.0,1.9234579590821045e-05
Barnard's Star,05.98,2.3868e+29,139140000.0,822.3143423443323
Luhman 16,06.52,2.84427e+30,104355000.0,17420.881622998448
Proxima Centauri,04.25,5.7680999999999994e+32,1099206000.0,31842.00706081509
KIC 8462852,"01,470",3.75921e+32,22262400000.0,50.59160504657513
R136a1,"0163,000",3.7791e+31,14679270000.000002,11.697829866461753
Melnick 42,"0163,000",1.1432771999999998e+32,271323000.0,103586.73766809602
WR 102,"018,134",2.00889e+30,10066779000.0,1.3222114748253473
VFTS 352,"0164,000",3.1824e+29,688743000.0,44.74723489953175
YBP 1194,"02,772",9.945e+31,146097000.0,310776.3954438142
Gliese 1214,047.5,1.4917499999999999e+29,1147905000000.0,7.551095889295981e-06
NML Cygni,"05,251",3.7791e+31,1739250000000.0,0.0008332785335755902
VB 10,018.72,1.7702099999999997e+29,1147905000000.0,8.96063378863123e-06
WOH G64,"0163,000",1.3923e+29,1147905000000.0,7.04768949667625e-06
